,place,1996,2001,2006,2009,2011,2012,2013,2014,2016,2016,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
26,wikidataId/Q1017691,,,,,,,,,14961.0,,,,,,Cold Lake,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1017691,wikidataId/Q1017691,CAN,Canada
27,wikidataId/Q1018239,,,,,,,,,10278.0,,,,,,Selkirk,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1018239,wikidataId/Q1018239,CAN,Canada
28,wikidataId/Q1018257,,,,,,,,,14828.0,,,,,,"Comox, British Columbia",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1018257,wikidataId/Q1018257,CAN,Canada
29,wikidataId/Q1018271,,,,,,,,,11258.0,,,,,,Estevan,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1018271,wikidataId/Q1018271,CAN,Canada
30,wikidataId/Q1018325,,,,,,,,,13756.0,,,,,,Strathmore,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1018325,wikidataId/Q1018325,CAN,Canada
31,wikidataId/Q1018643,,,,,,,,,4107.0,,,,,,Red Lake,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1018643,wikidataId/Q1018643,CAN,Canada
32,wikidataId/Q1018711,,,,,,,,,3186.0,,,,,,Pictou,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1018711,wikidataId/Q1018711,CAN,Canada
33,wikidataId/Q1018959,,,,,,,,,5348.0,,,,,,Cornwall,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1018959,wikidataId/Q1018959,CAN,Canada
34,wikidataId/Q1019096,,,,,,,,,957.0,,,,,,"Hartland, New Brunswick",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1019096,wikidataId/Q1019096,CAN,Canada
35,wikidataId/Q1019496,,,,,,,,,33890.0,,,,,,Moose Jaw,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1019496,wikidataId/Q1019496,CAN,Canada
36,wikidataId/Q1020179,,,,,,,,,3708.0,,,,,,Golden,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1020179,wikidataId/Q1020179,CAN,Canada
37,wikidataId/Q1020218,,,,,,,,,2828.0,,,,,,Princeton,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1020218,wikidataId/Q1020218,CAN,Canada
38,wikidataId/Q1021766,,,,,,,,,2842.0,,,,,,Rankin Inlet,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1021766,wikidataId/Q1021766,CAN,Canada
39,wikidataId/Q1022127,,,,,,,,,17678.0,,,,,,Port Alberni,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1022127,wikidataId/Q1022127,CAN,Canada
40,wikidataId/Q1022731,,,,,,,,,7235.0,,,,,,Drayton Valley,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1022731,wikidataId/Q1022731,CAN,Canada
41,wikidataId/Q1025947,,,,,,,,,790.0,,,,,,Watson Lake,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1025947,wikidataId/Q1025947,CAN,Canada
42,wikidataId/Q1025990,,,,,,,,,7139.0,,,,,,Merritt,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1025990,wikidataId/Q1025990,CAN,Canada
43,wikidataId/Q1026779,,,,,,,,,8039.0,,,,,,Castlegar,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1026779,wikidataId/Q1026779,CAN,Canada
44,wikidataId/Q1027634,,,,,,,,,8292.0,,,,,,Kapuskasing,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1027634,wikidataId/Q1027634,CAN,Canada
45,wikidataId/Q1030509,,,,,,,,,35138.0,,,,,,Campbell River,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1030509,wikidataId/Q1030509,CAN,Canada
46,wikidataId/Q1030568,,,,,,,,,6883.0,,,,,,Campbellton,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1030568,wikidataId/Q1030568,CAN,Canada
47,wikidataId/Q1035422,,,,,,,,,4248.0,,,,,,Caraquet,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1035422,wikidataId/Q1035422,CAN,Canada
48,wikidataId/Q1035637,,,,,,,,,301.0,,,,,,"Carcross, Yukon",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1035637,wikidataId/Q1035637,CAN,Canada
49,wikidataId/Q1041701,,,,,,,,,11901.0,,,,,,Carleton Place,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1041701,wikidataId/Q1041701,CAN,Canada
50,wikidataId/Q1043492,,,,,,,,,493.0,,,,,,Carmacks,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1043492,wikidataId/Q1043492,CAN,Canada
51,wikidataId/Q1053984,,,,,,,,,16814.0,,,,,,Central Saanich,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1053984,wikidataId/Q1053984,CAN,Canada
52,wikidataId/Q1055838,,,,,,,,,14451.0,,,,,,Brooks,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1055838,wikidataId/Q1055838,CAN,Canada
53,wikidataId/Q10566,,,,,,,,,246376.0,,,,,,Saskatoon,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q10566,wikidataId/Q10566,CAN,Canada
54,wikidataId/Q1070783,,,,,,,,,437.0,,,,,,Chesterfield Inlet,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1070783,wikidataId/Q1070783,CAN,Canada
55,wikidataId/Q1075086,,,,,,,,,13882.0,,,,,,Pembroke,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1075086,wikidataId/Q1075086,CAN,Canada
56,wikidataId/Q1095333,,,,,,,,,1202.0,,,,,,Claremont,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1095333,wikidataId/Q1095333,CAN,Canada
57,wikidataId/Q1099089,,,,,,,,,1508.0,,,,,,Carlyle,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1099089,wikidataId/Q1099089,CAN,Canada
58,wikidataId/Q1099134,,,,,2219.0,,,,,,,,,,Canora,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1099134,wikidataId/Q1099134,CAN,Canada
59,wikidataId/Q1099427,,,,,1126.0,,,,,,,,,,Carnduff,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1099427,wikidataId/Q1099427,CAN,Canada
60,wikidataId/Q1105163,,,,,,,,,,,,,,34467.0,Cochrane,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1105163,wikidataId/Q1105163,CAN,Canada
61,wikidataId/Q1113057,,,,,,,,,16859.0,,,,,,Colwood,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1113057,wikidataId/Q1113057,CAN,Canada
62,wikidataId/Q112975,,,,,,,,,2964.0,,,,,,Enderby,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q112975,wikidataId/Q112975,CAN,Canada
63,wikidataId/Q1134451,,,,,,,,,372.0,,,,,,Central Butte,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1134451,wikidataId/Q1134451,CAN,Canada
64,wikidataId/Q1134786,,,,,,,,,973.0,,,,,,Carrot River,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1134786,wikidataId/Q1134786,CAN,Canada
